# Distance(Angstrom) Energy(Hartree)
2.000000000000000111e-01 3.171975304928404960e-01
3.444444444444444420e-01 -6.415603060829531135e-01
4.888888888888889284e-01 -9.276514097548356208e-01
6.333333333333333037e-01 -1.017301207147455200e+00
7.777777777777779011e-01 -1.030038847608957919e+00
9.222222222222222765e-01 -1.017724305310688360e+00
1.066666666666666652e+00 -9.821586575316475498e-01
1.211111111111111249e+00 -9.468167687778861197e-01
1.355555555555555625e+00 -9.068644495149685847e-01
1.500000000000000000e+00 -8.692301253377657799e-01
