# Distance(Angstrom) Energy(Hartree)
5.999999999999999778e-01 -9.251722645133201306e-01
6.333333333333333037e-01 -1.089708455916552410e+00
6.666666666666666297e-01 -1.109552931116848162e+00
6.999999999999999556e-01 -1.112308428580548458e+00
7.333333333333333925e-01 -1.110500320653408979e+00
7.666666666666666075e-01 -1.107986025231103344e+00
8.000000000000000444e-01 -1.109675842068410745e+00
8.333333333333333703e-01 -1.103625557911994903e+00
8.666666666666666963e-01 -1.098600695277838435e+00
9.000000000000000222e-01 -1.094222013167684304e+00
