# Distance(Angstrom) Energy(Ha)
2.000000000000000111e-01 2.988539182591932741e-01
3.444444444444444420e-01 -7.708087863451302812e-01
4.888888888888889284e-01 -1.039522542594206733e+00
6.333333333333333037e-01 -1.117535725079745745e+00
7.777777777777779011e-01 -1.118784068787632702e+00
9.222222222222222765e-01 -1.093853616711742527e+00
1.066666666666666652e+00 -1.055758954916084624e+00
1.211111111111111249e+00 -1.009400816519969490e+00
1.355555555555555625e+00 -9.642364268558443197e-01
1.500000000000000000e+00 -9.211341589230179761e-01
