
=== Bond scan for H2 ===
[01/30] d = 0.400000 Å  ->  E = -0.9141497046 Ha
[02/30] d = 0.420690 Å  ->  E = -0.9530518864 Ha
[03/30] d = 0.441379 Å  ->  E = -0.9861384050 Ha
[04/30] d = 0.462069 Å  ->  E = -1.0142590034 Ha
[05/30] d = 0.482759 Å  ->  E = -1.0381145496 Ha
[06/30] d = 0.503448 Å  ->  E = -1.0582881549 Ha
[07/30] d = 0.524138 Å  ->  E = -1.0752690583 Ha
[08/30] d = 0.544828 Å  ->  E = -1.0894710881 Ha
[09/30] d = 0.565517 Å  ->  E = -1.1012470069 Ha
[10/30] d = 0.586207 Å  ->  E = -1.1108997018 Ha
[11/30] d = 0.606897 Å  ->  E = -1.1186909449 Ha
[12/30] d = 0.627586 Å  ->  E = -1.1248482753 Ha
[13/30] d = 0.648276 Å  ->  E = -1.1295704316 Ha
[14/30] d = 0.668966 Å  ->  E = -1.1330316693 Ha
[15/30] d = 0.689655 Å  ->  E = -1.1353852212 Ha
[16/30] d = 0.710345 Å  ->  E = -1.1367661071 Ha
[17/30] d = 0.731034 Å  ->  E = -1.1372934478 Ha
[18/30] d = 0.751724 Å  ->  E = -1.1370724044 Ha
[19/30] d = 0.772414 Å  ->  E = -1.1361958335 Ha
[20/30] d = 0.793103 Å  ->  E = -1.1347457239 Ha
[21/30] d = 0.813793 Å  ->  E = -1.1327944633 Ha
[22/30] d = 0.834483 Å  ->  E = -1.1304059676 Ha
[23/30] d = 0.855172 Å  ->  E = -1.1276366967 Ha
[24/30] d = 0.875862 Å  ->  E = -1.1245365700 Ha
[25/30] d = 0.896552 Å  ->  E = -1.1211497920 Ha
[26/30] d = 0.917241 Å  ->  E = -1.1175155956 Ha
[27/30] d = 0.937931 Å  ->  E = -1.1136689049 Ha
[28/30] d = 0.958621 Å  ->  E = -1.1096409233 Ha
[29/30] d = 0.979310 Å  ->  E = -1.1054596504 Ha
[30/30] d = 1.000000 Å  ->  E = -1.1011503302 Ha

=== H2 joint optimization ===
Eval 001: d=0.740000 ANGSTROM, E=-0.8721545086 Ha, cost=-0.8721545086
Eval 002: d=0.740000 ANGSTROM, E=-0.1081248006 Ha, cost=-0.1081248006
Eval 003: d=0.740000 ANGSTROM, E=-1.0598587917 Ha, cost=-1.0598587917
Eval 004: d=0.740000 ANGSTROM, E=-0.5693221129 Ha, cost=-0.5693221129
Eval 005: d=0.740000 ANGSTROM, E=-0.3658620651 Ha, cost=-0.3658620651
Eval 006: d=0.740000 ANGSTROM, E=-0.3078248435 Ha, cost=-0.3078248435
Eval 007: d=0.740000 ANGSTROM, E=-0.0571905427 Ha, cost=-0.0571905427
Eval 008: d=1.740000 ANGSTROM, E=-0.8928993036 Ha, cost=-0.8928993036
Eval 009: d=0.642627 ANGSTROM, E=0.0821490753 Ha, cost=0.0821490753
Eval 010: d=0.725734 ANGSTROM, E=-0.9846011500 Ha, cost=-0.9846011500
Eval 011: d=0.714526 ANGSTROM, E=-0.9436400443 Ha, cost=-0.9436400443
Eval 012: d=0.740000 ANGSTROM, E=-1.0381690880 Ha, cost=-1.0381690880
Eval 013: d=0.733004 ANGSTROM, E=-1.0771661934 Ha, cost=-1.0771661934
Eval 014: d=0.724147 ANGSTROM, E=-1.0664201824 Ha, cost=-1.0664201824
Eval 015: d=0.733004 ANGSTROM, E=-1.0881323019 Ha, cost=-1.0881323019
Eval 016: d=0.713034 ANGSTROM, E=-1.0997961664 Ha, cost=-1.0997961664
Eval 017: d=0.698060 ANGSTROM, E=-1.0819464373 Ha, cost=-1.0819464373
Eval 018: d=0.665989 ANGSTROM, E=-1.0971179106 Ha, cost=-1.0971179106
Eval 019: d=0.741185 ANGSTROM, E=-1.1262085861 Ha, cost=-1.1262085861
Eval 020: d=0.767307 ANGSTROM, E=-1.1054453200 Ha, cost=-1.1054453200
Eval 021: d=0.744486 ANGSTROM, E=-1.1279647031 Ha, cost=-1.1279647031
Eval 022: d=0.747737 ANGSTROM, E=-1.1360987249 Ha, cost=-1.1360987249
Eval 023: d=0.757502 ANGSTROM, E=-1.1306122429 Ha, cost=-1.1306122429
Eval 024: d=0.751161 ANGSTROM, E=-1.1312289150 Ha, cost=-1.1312289150
Eval 025: d=0.773184 ANGSTROM, E=-1.1295683272 Ha, cost=-1.1295683272
Eval 026: d=0.777354 ANGSTROM, E=-1.1254288016 Ha, cost=-1.1254288016
Eval 027: d=0.787111 ANGSTROM, E=-1.1310241338 Ha, cost=-1.1310241338
Eval 028: d=0.747431 ANGSTROM, E=-1.1361681072 Ha, cost=-1.1361681072
Eval 029: d=0.727082 ANGSTROM, E=-1.1360774897 Ha, cost=-1.1360774897
Eval 030: d=0.747648 ANGSTROM, E=-1.1359283006 Ha, cost=-1.1359283006
Eval 031: d=0.746679 ANGSTROM, E=-1.1366496771 Ha, cost=-1.1366496771
Eval 032: d=0.746231 ANGSTROM, E=-1.1366509247 Ha, cost=-1.1366509247
Eval 033: d=0.743103 ANGSTROM, E=-1.1364849863 Ha, cost=-1.1364849863
Eval 034: d=0.748622 ANGSTROM, E=-1.1368233078 Ha, cost=-1.1368233078
Eval 035: d=0.751708 ANGSTROM, E=-1.1370064593 Ha, cost=-1.1370064593
Eval 036: d=0.754271 ANGSTROM, E=-1.1369741445 Ha, cost=-1.1369741445
Eval 037: d=0.755783 ANGSTROM, E=-1.1368346013 Ha, cost=-1.1368346013
Eval 038: d=0.750422 ANGSTROM, E=-1.1369948464 Ha, cost=-1.1369948464
Eval 039: d=0.751299 ANGSTROM, E=-1.1370080693 Ha, cost=-1.1370080693
